                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2189,                 4.0094,                  3.903,                0.03076,                 0.1218,                0.01753,                0.00413,                 2.7773,                 6.1061,                 3.4955,               0.070097,              0.0033225,              0.0033225
                      1,                 2.4107,                 3.0544,                 2.9166,                0.26668,                0.37915,                0.21941,                0.09279,                 1.9824,                 2.7613,                 2.6429,               0.040032,                0.00659,                0.00659
                      2,                 1.7736,                 2.4275,                 2.2541,                0.24901,                0.27901,                0.19308,                0.08512,                 2.0864,                 2.9869,                 2.6829,              0.0098996,              0.0097914,              0.0097914
                      3,                 1.5532,                 2.1534,                 1.9775,                0.53127,                0.55023,                0.52912,                 0.3324,                 1.3134,                 1.8582,                 1.8403,               0.009703,               0.009703,               0.009703
                      4,                 1.3949,                 1.8759,                 1.8122,                0.65448,                0.65998,                0.68379,                0.44648,                 1.1967,                 1.3584,                 1.6966,               0.009703,               0.009703,               0.009703
                      5,                 1.3144,                 1.6959,                  1.721,                 0.6075,                 0.6049,                0.65927,                0.42892,                 1.2034,                 1.4861,                 1.6758,               0.009604,               0.009604,               0.009604
                      6,                 1.2519,                 1.5959,                 1.6565,                0.70915,                0.66755,                0.73303,                0.50949,                 1.0859,                 1.2455,                 1.5456,               0.009505,               0.009505,               0.009505
                      7,                 1.2089,                 1.5054,                 1.6192,                0.77496,                0.74208,                0.82262,                0.60005,                0.96075,                0.97704,                 1.4363,               0.009406,               0.009406,               0.009406
                      8,                 1.1688,                 1.4373,                 1.5883,                0.79079,                0.75406,                0.83016,                0.61808,                0.93467,                0.96369,                 1.4007,               0.009307,               0.009307,               0.009307
                      9,                 1.1392,                 1.3805,                  1.564,                  0.819,                0.76142,                0.83832,                 0.6359,                0.89283,                0.95232,                 1.3726,               0.009208,               0.009208,               0.009208
                     10,                 1.1175,                  1.336,                 1.5396,                0.84282,                0.82002,                0.89033,                0.67703,                0.88123,                0.81358,                 1.3516,               0.009109,               0.009109,               0.009109
                     11,                 1.0996,                 1.3074,                  1.528,                0.84267,                0.80036,                0.88357,                 0.6791,                0.83116,                 0.8156,                 1.3003,                0.00901,                0.00901,                0.00901
                     12,                 1.0725,                  1.268,                 1.5052,                0.86195,                0.80692,                 0.8923,                0.68927,                0.85027,                0.79337,                 1.3197,               0.008911,               0.008911,               0.008911
                     13,                 1.0593,                 1.2341,                 1.4896,                0.85027,                0.80384,                0.88721,                0.69369,                0.79778,                 0.7909,                 1.2734,               0.008812,               0.008812,               0.008812
                     14,                 1.0414,                 1.1849,                 1.4719,                0.86738,                0.83177,                0.91255,                0.72054,                0.77907,                0.70803,                 1.2563,               0.008713,               0.008713,               0.008713
                     15,                 1.0326,                 1.1656,                 1.4686,                0.87666,                0.83435,                0.90844,                 0.7167,                0.77846,                0.69848,                 1.2483,               0.008614,               0.008614,               0.008614
                     16,                 1.0153,                 1.1503,                   1.45,                0.86263,                0.85364,                0.91494,                0.73547,                 0.7555,                0.66314,                 1.2237,               0.008515,               0.008515,               0.008515
                     17,                 1.0097,                 1.1276,                 1.4435,                0.87945,                0.86075,                0.92253,                0.73754,                0.75307,                0.64316,                 1.2263,               0.008416,               0.008416,               0.008416
                     18,                 1.0044,                 1.1145,                 1.4418,                0.89703,                0.83821,                0.92151,                0.73481,                0.75444,                0.64552,                 1.2291,               0.008317,               0.008317,               0.008317
                     19,                0.99501,                 1.1012,                 1.4305,                 0.8891,                0.85712,                0.92669,                0.74371,                0.75005,                0.62447,                 1.2141,               0.008218,               0.008218,               0.008218
                     20,                0.98669,                 1.0878,                 1.4243,                0.89586,                0.83995,                0.92501,                0.75127,                0.72871,                0.62449,                 1.2025,               0.008119,               0.008119,               0.008119
                     21,                0.96521,                 1.0669,                 1.4094,                0.89088,                0.87184,                0.93034,                0.74752,                 0.7284,                0.60071,                 1.1871,                0.00802,                0.00802,                0.00802
                     22,                0.96643,                 1.0536,                 1.4113,                0.90572,                0.83747,                0.93169,                0.75676,                0.71346,                0.61028,                 1.1884,               0.007921,               0.007921,               0.007921
                     23,                0.96254,                 1.0481,                 1.4043,                0.89566,                0.87433,                0.93544,                0.76266,                0.69984,                0.58221,                 1.1674,               0.007822,               0.007822,               0.007822
                     24,                0.94895,                 1.0284,                 1.3977,                0.87261,                0.87211,                0.93088,                0.76258,                0.69352,                0.58985,                 1.1661,               0.007723,               0.007723,               0.007723
                     25,                0.94081,                 1.0082,                  1.387,                0.87791,                0.87365,                0.93094,                0.75813,                0.69662,                0.59668,                 1.1582,               0.007624,               0.007624,               0.007624
