epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.342,3.27936,4.04758,4.13407,0.54649,0.06059,0.02262,0.00615,2.82453,3.92694,3.83044,0.00331845,0.00331845,0.00331845
2,243.317,2.50336,2.98872,3.15585,0.33674,0.36,0.27212,0.10028,2.17124,3.12824,2.91835,0.00658593,0.00658593,0.00658593
3,356.703,1.92326,2.36756,2.44911,0.19917,0.24571,0.12566,0.04606,2.0847,4.15755,2.80455,0.00978741,0.00978741,0.00978741
4,466.598,1.71126,2.08855,2.18431,0.49322,0.51825,0.49734,0.23646,1.726,2.49525,2.29235,0.009703,0.009703,0.009703
5,575.546,1.58176,1.882,2.0323,0.61483,0.57742,0.60088,0.32981,1.48922,1.97884,2.03687,0.009604,0.009604,0.009604
6,681.643,1.50994,1.76698,1.95023,0.63612,0.5702,0.60098,0.34013,1.46824,1.76381,1.97726,0.009505,0.009505,0.009505
7,787.23,1.44345,1.65561,1.87547,0.58954,0.59349,0.5926,0.30805,1.53924,1.79568,2.10251,0.009406,0.009406,0.009406
8,894.782,1.40861,1.59099,1.83783,0.75639,0.65323,0.72781,0.45272,1.35399,1.40988,1.85633,0.009307,0.009307,0.009307
9,1002.95,1.36073,1.50992,1.80425,0.76911,0.68817,0.75702,0.47965,1.24483,1.29837,1.75133,0.009208,0.009208,0.009208
10,1111.3,1.34242,1.45011,1.76475,0.73782,0.70246,0.75046,0.42516,1.47204,1.3955,1.9031,0.009109,0.009109,0.009109
11,1219.11,1.30029,1.39938,1.72892,0.78725,0.69077,0.77968,0.50265,1.26816,1.25273,1.77469,0.00901,0.00901,0.00901
12,1326.26,1.2767,1.35552,1.71097,0.75554,0.71065,0.76988,0.46968,1.32714,1.20864,1.75457,0.008911,0.008911,0.008911
13,1433.43,1.25282,1.32254,1.68438,0.81998,0.70207,0.79469,0.54181,1.14883,1.15228,1.62419,0.008812,0.008812,0.008812
14,1541.49,1.23925,1.29319,1.66558,0.82099,0.7412,0.82331,0.56947,1.11278,1.06537,1.59703,0.008713,0.008713,0.008713
15,1650.44,1.23426,1.2707,1.65922,0.83011,0.73755,0.82668,0.57127,1.12021,1.02746,1.59129,0.008614,0.008614,0.008614
16,1757.8,1.21161,1.24718,1.64782,0.82617,0.74197,0.83675,0.58224,1.08265,1.03523,1.57429,0.008515,0.008515,0.008515
17,1865.76,1.18905,1.22479,1.62798,0.82384,0.74129,0.82603,0.57577,1.10217,1.02875,1.57794,0.008416,0.008416,0.008416
18,1974.5,1.18223,1.19059,1.6237,0.86268,0.75596,0.84779,0.58811,1.08858,0.97316,1.56046,0.008317,0.008317,0.008317
19,2083.18,1.18005,1.19401,1.61892,0.84007,0.77248,0.84936,0.60371,1.05457,0.9432,1.51909,0.008218,0.008218,0.008218
20,2191.6,1.16494,1.16052,1.60195,0.86613,0.74603,0.85851,0.61352,1.05912,0.93162,1.54678,0.008119,0.008119,0.008119
21,2299.65,1.16128,1.16185,1.59584,0.83761,0.79753,0.86508,0.61809,1.06043,0.89272,1.50662,0.00802,0.00802,0.00802
