epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.977,1.3841,1.78901,1.48123,0.83972,0.77285,0.83843,0.49176,0.84927,6.38466,0.85575,0.0701351,0.00331832,0.00331832
2,235.034,1.21236,0.80885,1.29928,0.74018,0.70252,0.77265,0.42672,0.92529,26.9253,0.9111,0.0401341,0.00665057,0.00665057
3,332.362,1.37484,0.974,1.42385,0.4132,0.41788,0.34638,0.16539,1.30576,45.2768,1.18081,0.0101286,0.00997849,0.00997849
4,427.885,1.48979,1.11035,1.53087,0.37864,0.53297,0.34357,0.15575,1.1001,44.1592,1.08209,0.00998536,0.00998536,0.00998536
5,522.338,1.34694,0.94296,1.43129,0.61697,0.58114,0.61755,0.32472,1.01869,90.0057,1.0225,0.00997398,0.00997398,0.00997398
6,616.987,1.23331,0.81955,1.3394,0.70121,0.67515,0.72985,0.42638,0.90673,38.1511,0.92472,0.00995936,0.00995936,0.00995936
7,711.492,1.12597,0.72491,1.2613,0.76805,0.72666,0.78529,0.45885,0.88642,34.2094,0.91388,0.00994152,0.00994152,0.00994152
8,806.132,1.03364,0.66268,1.19606,0.82175,0.7622,0.83973,0.49789,0.86067,11.5536,0.9005,0.00992046,0.00992046,0.00992046
9,901.08,0.9486,0.59918,1.13212,0.80242,0.79707,0.85108,0.49354,0.84848,18.7015,0.89641,0.0098962,0.0098962,0.0098962
10,995.534,0.85977,0.54552,1.07812,0.77854,0.7753,0.82191,0.49276,0.8685,24.0955,0.93464,0.00986876,0.00986876,0.00986876
11,1090,0.79727,0.50508,1.03125,0.79544,0.74934,0.79967,0.48834,0.8563,21.6587,0.9064,0.00983815,0.00983815,0.00983815
12,1184.74,0.73622,0.46996,0.99555,0.79146,0.81335,0.84034,0.49581,0.83906,19.4699,0.92373,0.00980439,0.00980439,0.00980439
13,1279.1,0.68159,0.44259,0.96207,0.85802,0.81176,0.86735,0.52853,0.86453,3.83022,0.94141,0.00976752,0.00976752,0.00976752
14,1373.78,0.64133,0.4199,0.94167,0.83327,0.76216,0.81888,0.49489,0.85611,22.0396,0.9412,0.00972755,0.00972755,0.00972755
15,1468.19,0.5976,0.39801,0.91961,0.8231,0.81351,0.83712,0.49883,0.8537,18.5398,0.96096,0.00968451,0.00968451,0.00968451
16,1562.83,0.5667,0.38311,0.90323,0.8807,0.81642,0.85364,0.52893,0.82136,7.37031,0.93074,0.00963843,0.00963843,0.00963843
17,1657.17,0.53583,0.36592,0.8899,0.85029,0.82322,0.86091,0.5247,0.82712,8.71229,0.95587,0.00958934,0.00958934,0.00958934
18,1751.83,0.50856,0.34868,0.87827,0.813,0.78796,0.84612,0.52908,0.83098,28.0967,0.94545,0.00953728,0.00953728,0.00953728
19,1846.48,0.48447,0.33812,0.86726,0.82555,0.83073,0.84912,0.5268,0.80985,13.213,0.9481,0.00948228,0.00948228,0.00948228
20,1941.02,0.46605,0.32934,0.85993,0.81166,0.79648,0.85609,0.54027,0.82558,15.22,0.96538,0.00942438,0.00942438,0.00942438
21,2035.7,0.4457,0.31558,0.85263,0.86081,0.79423,0.85138,0.52282,0.83677,13.469,0.99419,0.00936362,0.00936362,0.00936362
22,2130.31,0.43366,0.30781,0.84683,0.89126,0.80045,0.85994,0.53372,0.8226,7.05596,0.98393,0.00930004,0.00930004,0.00930004
23,2224.81,0.41619,0.30031,0.84175,0.87745,0.78113,0.85689,0.54222,0.80204,10.6268,0.94331,0.00923369,0.00923369,0.00923369
24,2319.58,0.39973,0.29022,0.83582,0.89087,0.79548,0.8611,0.53647,0.80286,5.60727,0.95516,0.0091646,0.0091646,0.0091646
25,2415.88,0.38792,0.28585,0.83151,0.86074,0.79025,0.85703,0.53526,0.80193,22.1387,0.97335,0.00909283,0.00909283,0.00909283
26,2511.29,0.37228,0.27582,0.82703,0.86853,0.80849,0.87459,0.55796,0.80082,9.90122,0.94786,0.00901843,0.00901843,0.00901843
27,2607.1,0.36576,0.27232,0.82386,0.89511,0.78726,0.86595,0.55438,0.80904,4.36439,0.95156,0.00894144,0.00894144,0.00894144
28,2702.35,0.35459,0.26495,0.8217,0.8508,0.82955,0.87272,0.55298,0.80167,13.3531,0.9522,0.00886193,0.00886193,0.00886193
29,2798.14,0.34455,0.25999,0.8179,0.90271,0.78571,0.87807,0.54872,0.80164,7.67835,0.95397,0.00877994,0.00877994,0.00877994
30,2897.47,0.33616,0.25487,0.81526,0.85307,0.78994,0.84765,0.54012,0.79503,17.6518,0.95736,0.00869553,0.00869553,0.00869553
31,2997.49,0.32296,0.24761,0.81291,0.90199,0.80717,0.86833,0.54871,0.8099,8.82778,0.97087,0.00860876,0.00860876,0.00860876
32,3096.03,0.31822,0.24471,0.81093,0.87965,0.79675,0.86549,0.56126,0.78697,8.75324,0.94497,0.00851968,0.00851968,0.00851968
33,3193.35,0.30917,0.23929,0.80956,0.84009,0.80288,0.85173,0.54284,0.78899,17.3626,0.93957,0.00842837,0.00842837,0.00842837
34,3290.51,0.30121,0.23525,0.80692,0.85693,0.81649,0.85993,0.55372,0.80271,4.97624,0.95621,0.00833488,0.00833488,0.00833488
35,3387.55,0.29632,0.22973,0.80664,0.88662,0.78101,0.86713,0.55196,0.80924,7.54797,0.95258,0.00823927,0.00823927,0.00823927
36,3484.55,0.28911,0.224,0.80435,0.88003,0.78316,0.86829,0.56027,0.79302,12.6747,0.94112,0.00814162,0.00814162,0.00814162
37,3581.82,0.28217,0.22073,0.80233,0.89431,0.79703,0.88104,0.57177,0.78523,4.38276,0.93983,0.00804198,0.00804198,0.00804198
38,3678.91,0.27401,0.21675,0.80066,0.87761,0.8151,0.8751,0.5617,0.80878,4.54847,0.97752,0.00794043,0.00794043,0.00794043
39,3775.9,0.27094,0.21552,0.7998,0.86952,0.78648,0.86751,0.56154,0.79633,11.4838,0.96795,0.00783704,0.00783704,0.00783704
